year,market,area,f0_19,f20_66,f67,m0_19,m20_66,m67
2006,42,26.93,4570.0,10620.0,2983.0,4733.0,10461.0,2041.0
2007,42,27.33,4562.0,10780.0,2998.0,4779.0,10551.0,2106.0
2008,42,27.69,4587.0,10873.0,3055.0,4724.0,10688.0,2137.0
2009,42,27.76,4588.0,10932.0,3104.0,4696.0,10784.0,2180.0
2010,42,28.115,4587.0,11056.5,3170.5,4735.5,10871.0,2258.5
2011,42,28.47,4586.0,11181.0,3237.0,4775.0,10958.0,2337.0
2004,43,7.1,1016.0,2632.0,844.0,1064.0,2641.0,537.0
2005,43,7.1,1007.0,2605.0,836.0,1026.0,2623.0,534.0
2006,43,7.2,1009.0,2586.0,856.0,1035.0,2612.0,564.0
2007,43,7.29,1005.0,2582.0,866.0,1036.0,2645.0,558.0
2008,43,7.41,1006.0,2620.0,875.0,1041.0,2705.0,567.0
2009,43,7.41,996.0,2641.0,863.0,1036.0,2712.0,560.0
2010,43,7.58,1000.0,2665.5,874.5,1049.5,2718.0,577.0
2011,43,7.75,1004.0,2690.0,886.0,1063.0,2724.0,594.0
2004,44,7.08,866.0,1681.0,417.0,885.0,1752.0,296.0
2005,44,7.08,846.0,1671.0,429.0,852.0,1771.0,306.0
2006,44,7.32,838.0,1686.0,468.0,870.0,1770.0,319.0
2007,44,7.46,842.0,1706.0,466.0,863.0,1780.0,330.0
2008,44,7.65,891.0,1798.0,471.0,898.0,1861.0,346.0
2009,44,7.66,904.0,1780.0,490.0,911.0,1864.0,351.0
2010,44,7.855,904.0,1807.5,498.5,922.5,1887.0,356.0
2011,44,8.05,904.0,1835.0,507.0,934.0,1910.0,361.0
2004,45,3.33,198.0,552.0,193.0,198.0,548.0,118.0
2005,45,3.39,193.0,545.0,194.0,209.0,554.0,130.0
2006,45,3.53,212.0,561.0,212.0,216.0,575.0,126.0
2007,45,3.62,223.0,556.0,218.0,211.0,571.0,133.0
2008,45,3.74,226.0,563.0,229.0,201.0,584.0,139.0
2009,45,3.76,228.0,553.0,233.0,195.0,569.0,141.0
2010,45,3.79,222.0,557.5,240.0,191.5,568.5,142.5
2011,45,3.82,216.0,562.0,247.0,188.0,568.0,144.0
2004,46,6.18,915.0,1908.0,474.0,1009.0,2005.0,274.0
2005,46,6.18,892.0,1927.0,479.0,995.0,1998.0,292.0
2006,46,6.23,898.0,1987.0,487.0,1040.0,2037.0,296.0
2007,46,6.27,905.0,1961.0,516.0,1068.0,2012.0,314.0
2008,46,6.33,923.0,1984.0,533.0,1093.0,2064.0,318.0
2009,46,6.42,939.0,1990.0,544.0,1075.0,2074.0,330.0
2010,46,6.45,941.0,2022.0,540.5,1071.0,2097.5,343.5
2011,46,6.48,943.0,2054.0,537.0,1067.0,2121.0,357.0
2004,47,2.61,154.0,411.0,153.0,161.0,419.0,102.0
2005,47,2.6,152.0,412.0,149.0,152.0,411.0,103.0
2006,47,2.76,156.0,411.0,147.0,153.0,421.0,100.0
2007,47,2.85,146.0,386.0,146.0,151.0,403.0,103.0
2008,47,2.91,147.0,394.0,147.0,151.0,395.0,107.0
2009,47,2.92,144.0,394.0,145.0,143.0,392.0,107.0
2010,47,2.945,148.0,402.5,142.5,147.0,400.0,108.0
2011,47,2.97,152.0,411.0,140.0,151.0,408.0,109.0
2004,48,1.07,144.0,313.0,110.0,169.0,311.0,56.0
2005,48,1.07,147.0,316.0,114.0,162.0,310.0,61.0
2006,48,1.1,142.0,313.0,116.0,161.0,310.0,63.0
2007,48,1.12,148.0,309.0,119.0,154.0,307.0,64.0
2008,48,1.14,144.0,314.0,122.0,160.0,321.0,67.0
2009,48,1.14,154.0,319.0,124.0,154.0,336.0,66.0
2010,48,1.155,156.0,325.5,122.0,155.0,336.5,70.0
2011,48,1.17,158.0,332.0,120.0,156.0,337.0,74.0
2004,49,1.59,223.0,512.0,196.0,242.0,528.0,124.0
2005,49,1.59,221.0,503.0,192.0,241.0,521.0,130.0
2006,49,1.59,221.0,500.0,194.0,225.0,506.0,144.0
2007,49,1.59,215.0,492.0,191.0,215.0,501.0,139.0
2008,49,1.59,219.0,507.0,188.0,217.0,517.0,143.0
2009,49,1.59,201.0,510.0,182.0,230.0,511.0,145.0
2010,49,1.59,204.5,504.0,186.5,220.0,511.0,140.5
2011,49,1.59,208.0,498.0,191.0,210.0,511.0,136.0
2004,50,92.53,24218.0,59417.0,13353.0,25151.0,60253.0,8693.0
2005,50,92.72,24433.0,60147.0,13313.0,25362.0,61189.0,8737.0
2006,50,94.96,24961.0,61438.0,13448.0,25860.0,62745.0,8801.0
2007,50,96.19,25390.0,62723.0,13508.0,26366.0,64472.0,8875.0
2008,50,99.32,25987.0,64543.0,13587.0,27099.0,66806.0,9113.0
2009,50,100.33,26231.0,65867.0,13713.0,27406.0,68440.0,9377.0
2010,50,101.555,26502.5,67041.0,13920.0,27762.5,69540.5,9804.0
2011,50,102.78,26774.0,68215.0,14127.0,28119.0,70641.0,10231.0
2004,51,8.72,1602.0,3530.0,1084.0,1690.0,3538.0,693.0
2005,51,8.72,1598.0,3557.0,1086.0,1661.0,3585.0,693.0
2006,51,9.06,1623.0,3586.0,1102.0,1686.0,3653.0,702.0
2007,51,9.29,1625.0,3645.0,1106.0,1714.0,3709.0,700.0
2008,51,9.38,1672.0,3699.0,1123.0,1731.0,3777.0,710.0
2009,51,9.43,1655.0,3788.0,1117.0,1718.0,3811.0,715.0
2010,51,9.53,1662.0,3863.5,1109.5,1743.0,3886.0,724.0
2011,51,9.63,1669.0,3939.0,1102.0,1768.0,3961.0,733.0
2004,52,3.47,421.0,823.0,270.0,439.0,902.0,199.0
2005,52,3.47,419.0,819.0,275.0,439.0,888.0,209.0
2006,52,3.56,411.0,830.0,278.0,437.0,889.0,199.0
2007,52,3.64,410.0,838.0,276.0,432.0,901.0,196.0
2008,52,3.89,432.0,893.0,284.0,441.0,965.0,203.0
2009,52,3.99,424.0,913.0,290.0,433.0,998.0,199.0
2010,52,4.04,422.5,928.0,291.5,444.0,1017.0,197.0
2011,52,4.09,421.0,943.0,293.0,455.0,1036.0,195.0
2004,53,5.29,590.0,1318.0,413.0,650.0,1362.0,257.0
2005,53,5.29,595.0,1342.0,425.0,658.0,1365.0,256.0
2006,53,5.4,613.0,1367.0,430.0,680.0,1423.0,257.0
2007,53,5.48,621.0,1430.0,416.0,700.0,1458.0,255.0
2008,53,5.67,655.0,1456.0,427.0,711.0,1527.0,249.0
2009,53,5.67,635.0,1494.0,421.0,720.0,1583.0,245.0
2010,53,5.755,627.0,1522.0,424.0,712.0,1595.5,258.5
2011,53,5.84,619.0,1550.0,427.0,704.0,1608.0,272.0
2004,54,4.08,429.0,931.0,199.0,476.0,1012.0,137.0
2005,54,4.06,435.0,896.0,205.0,444.0,981.0,142.0
2006,54,4.21,434.0,880.0,209.0,446.0,978.0,141.0
2007,54,4.28,422.0,891.0,205.0,436.0,980.0,145.0
2008,54,4.31,417.0,889.0,216.0,448.0,980.0,153.0
2009,54,4.31,419.0,901.0,218.0,411.0,970.0,156.0
2010,54,4.425,417.0,908.0,224.0,425.0,1001.5,163.0
2011,54,4.54,415.0,915.0,230.0,439.0,1033.0,170.0
2004,55,7.81,1407.0,3073.0,862.0,1498.0,3041.0,562.0
2005,55,7.81,1443.0,3102.0,855.0,1496.0,3062.0,558.0
2006,55,7.93,1453.0,3134.0,861.0,1528.0,3095.0,568.0
2007,55,8.06,1455.0,3175.0,855.0,1531.0,3120.0,568.0
2008,55,8.3,1477.0,3185.0,870.0,1571.0,3130.0,576.0
2009,55,8.36,1485.0,3245.0,864.0,1566.0,3166.0,570.0
2010,55,8.54,1484.0,3290.5,876.5,1584.0,3189.5,586.5
2011,55,8.72,1483.0,3336.0,889.0,1602.0,3213.0,603.0
2004,56,7.89,1852.0,4516.0,1428.0,2006.0,4606.0,892.0
2005,56,7.89,1815.0,4479.0,1437.0,1941.0,4653.0,892.0
2006,56,8.0,1816.0,4420.0,1433.0,1874.0,4634.0,899.0
2007,56,8.14,1801.0,4434.0,1420.0,1891.0,4653.0,916.0
2008,56,8.4,1835.0,4440.0,1384.0,1926.0,4702.0,894.0
2009,56,8.4,1844.0,4461.0,1357.0,1907.0,4733.0,897.0
2010,56,8.52,1824.5,4485.5,1378.5,1897.0,4748.0,911.0
2011,56,8.64,1805.0,4510.0,1400.0,1887.0,4763.0,925.0
2004,57,9.59,2078.0,4306.0,784.0,2218.0,4059.0,543.0
2005,57,9.59,2094.0,4345.0,817.0,2209.0,4070.0,570.0
2006,57,9.73,2110.0,4400.0,845.0,2209.0,4112.0,589.0
2007,57,9.89,2135.0,4456.0,856.0,2222.0,4178.0,620.0
2008,57,10.14,2134.0,4583.0,868.0,2269.0,4269.0,645.0
2009,57,10.17,2133.0,4679.0,896.0,2287.0,4366.0,644.0
2010,57,10.215,2137.5,4750.0,919.0,2271.0,4429.0,664.0
2011,57,10.26,2142.0,4821.0,942.0,2255.0,4492.0,684.0
2004,58,7.29,535.0,1502.0,484.0,553.0,1491.0,326.0
2005,58,7.28,538.0,1472.0,478.0,552.0,1458.0,334.0
2006,58,7.48,547.0,1451.0,487.0,554.0,1459.0,331.0
2007,58,7.55,544.0,1451.0,490.0,547.0,1448.0,339.0
2008,58,7.65,542.0,1479.0,504.0,540.0,1450.0,351.0
2009,58,7.67,531.0,1488.0,502.0,525.0,1475.0,353.0
2010,58,7.955,527.5,1512.0,540.5,548.0,1498.5,368.0
2011,58,8.24,524.0,1536.0,579.0,571.0,1522.0,383.0
2004,59,9.7,755.0,1968.0,681.0,797.0,1974.0,472.0
2005,59,9.69,754.0,1960.0,682.0,804.0,1956.0,466.0
2006,59,9.91,734.0,1944.0,674.0,790.0,1925.0,467.0
2007,59,10.09,721.0,1921.0,672.0,805.0,1919.0,473.0
2008,59,10.28,733.0,1915.0,680.0,779.0,1937.0,480.0
2009,59,10.32,742.0,1908.0,701.0,781.0,1949.0,504.0
2010,59,10.45,761.5,1912.5,701.0,773.5,1951.0,502.0
2011,59,10.58,781.0,1917.0,701.0,766.0,1953.0,500.0
2004,60,1.43,407.0,846.0,247.0,383.0,954.0,176.0
2005,60,1.43,401.0,846.0,247.0,397.0,926.0,174.0
2006,60,1.43,384.0,814.0,248.0,377.0,911.0,170.0
2007,60,1.43,360.0,800.0,244.0,362.0,895.0,170.0
2008,60,1.43,360.0,796.0,240.0,357.0,886.0,162.0
2009,60,1.43,353.0,794.0,229.0,366.0,878.0,162.0
2010,60,1.43,341.0,804.0,228.0,361.5,907.5,165.5
2011,60,1.43,329.0,814.0,227.0,357.0,937.0,169.0
2004,61,3.12,351.0,815.0,322.0,352.0,803.0,181.0
2005,61,3.12,333.0,814.0,328.0,339.0,795.0,187.0
2006,61,3.18,331.0,790.0,327.0,311.0,793.0,198.0
2007,61,3.23,320.0,799.0,342.0,312.0,795.0,209.0
2008,61,3.26,316.0,802.0,342.0,318.0,790.0,206.0
2009,61,3.26,327.0,815.0,349.0,308.0,802.0,199.0
2010,61,3.325,332.0,828.5,354.5,316.5,804.5,206.0
2011,61,3.39,337.0,842.0,360.0,325.0,807.0,213.0
2004,62,8.55,1040.0,2750.0,1029.0,1096.0,2752.0,689.0
2005,62,8.55,1024.0,2778.0,1012.0,1109.0,2754.0,670.0
2006,62,8.75,1023.0,2780.0,1013.0,1086.0,2776.0,650.0
2007,62,8.89,1044.0,2779.0,1012.0,1098.0,2795.0,656.0
2008,62,9.07,1060.0,2785.0,1011.0,1108.0,2806.0,667.0
2009,62,9.07,1005.0,2847.0,1002.0,1129.0,2810.0,673.0
2010,62,9.135,1016.0,2871.5,1005.5,1130.5,2860.5,665.0
2011,62,9.2,1027.0,2896.0,1009.0,1132.0,2911.0,657.0
2004,63,4.43,737.0,1802.0,789.0,823.0,1918.0,434.0
2005,63,4.43,712.0,1780.0,769.0,800.0,1897.0,451.0
2006,63,4.5,689.0,1749.0,761.0,771.0,1869.0,461.0
2007,63,4.58,673.0,1716.0,753.0,759.0,1841.0,459.0
2008,63,4.62,692.0,1689.0,743.0,750.0,1828.0,460.0
2009,63,4.63,681.0,1675.0,742.0,721.0,1840.0,446.0
2010,63,4.705,675.0,1678.5,723.5,709.0,1856.0,439.5
2011,63,4.78,669.0,1682.0,705.0,697.0,1872.0,433.0
2004,64,3.58,477.0,1108.0,349.0,484.0,1066.0,227.0
2005,64,3.58,476.0,1102.0,358.0,478.0,1070.0,222.0
2006,64,3.63,491.0,1111.0,371.0,482.0,1085.0,226.0
2007,64,3.69,500.0,1091.0,383.0,486.0,1088.0,235.0
2008,64,3.77,508.0,1120.0,393.0,498.0,1112.0,244.0
2009,64,3.8,512.0,1140.0,400.0,496.0,1120.0,256.0
2010,64,3.835,489.0,1155.5,406.0,495.0,1132.0,270.0
2011,64,3.87,466.0,1171.0,412.0,494.0,1144.0,284.0
2004,65,2.41,293.0,668.0,132.0,295.0,690.0,82.0
2005,65,2.41,305.0,675.0,126.0,287.0,687.0,88.0
2006,65,2.42,297.0,683.0,135.0,293.0,664.0,97.0
2007,65,2.43,312.0,663.0,137.0,284.0,666.0,97.0
2008,65,2.48,304.0,657.0,132.0,290.0,662.0,100.0
2009,65,2.48,299.0,663.0,131.0,291.0,658.0,104.0
2010,65,2.525,292.5,685.5,135.0,283.5,671.5,108.0
2011,65,2.57,286.0,708.0,139.0,276.0,685.0,112.0
2004,66,13.26,2469.0,5842.0,1724.0,2568.0,5990.0,1175.0
2005,66,13.26,2467.0,5823.0,1749.0,2546.0,5945.0,1187.0
2006,66,13.8,2509.0,5845.0,1759.0,2559.0,5952.0,1191.0
2007,66,14.01,2471.0,5791.0,1786.0,2564.0,5925.0,1193.0
2008,66,14.1,2451.0,5775.0,1758.0,2567.0,5909.0,1208.0
2009,66,14.18,2432.0,5831.0,1771.0,2569.0,6010.0,1217.0
2010,66,14.54,2456.0,5907.0,1803.0,2610.5,6068.0,1254.5
2011,66,14.9,2480.0,5983.0,1835.0,2652.0,6126.0,1292.0
2004,67,4.89,533.0,1185.0,487.0,561.0,1221.0,272.0
2005,67,4.88,540.0,1189.0,483.0,578.0,1209.0,269.0
2006,67,5.02,557.0,1214.0,461.0,592.0,1247.0,273.0
2007,67,5.11,559.0,1213.0,463.0,585.0,1253.0,270.0
2008,67,5.21,570.0,1252.0,474.0,572.0,1306.0,285.0
2009,67,5.26,553.0,1269.0,472.0,576.0,1318.0,286.0
2010,67,5.495,546.0,1280.5,480.5,571.5,1330.5,288.0
2011,67,5.73,539.0,1292.0,489.0,567.0,1343.0,290.0
2004,68,1.93,249.0,586.0,210.0,270.0,591.0,100.0
2005,68,1.93,246.0,570.0,215.0,251.0,595.0,101.0
2006,68,1.97,235.0,581.0,217.0,259.0,597.0,108.0
2007,68,2.04,225.0,582.0,229.0,260.0,604.0,117.0
2008,68,2.04,220.0,586.0,226.0,252.0,606.0,120.0
2009,68,2.04,223.0,586.0,230.0,253.0,581.0,119.0
2010,68,2.08,224.0,592.0,233.5,256.5,574.0,128.5
2011,68,2.12,225.0,598.0,237.0,260.0,567.0,138.0
2004,69,3.19,557.0,1324.0,428.0,570.0,1298.0,307.0
2005,69,3.19,567.0,1317.0,426.0,555.0,1309.0,301.0
2006,69,3.27,554.0,1313.0,421.0,539.0,1316.0,295.0
2007,69,3.36,536.0,1339.0,418.0,545.0,1311.0,309.0
2008,69,3.41,546.0,1357.0,444.0,561.0,1349.0,299.0
2009,69,3.43,522.0,1364.0,430.0,558.0,1367.0,294.0
2010,69,3.45,516.0,1362.0,433.5,546.5,1372.5,304.5
2011,69,3.47,510.0,1360.0,437.0,535.0,1378.0,315.0
2004,70,4.39,479.0,1229.0,411.0,522.0,1215.0,273.0
2005,70,4.39,492.0,1248.0,385.0,517.0,1214.0,266.0
2006,70,4.49,487.0,1272.0,385.0,538.0,1217.0,267.0
2007,70,4.58,502.0,1287.0,386.0,527.0,1225.0,262.0
2008,70,4.66,484.0,1274.0,397.0,526.0,1206.0,272.0
2009,70,4.75,493.0,1279.0,445.0,512.0,1221.0,307.0
2010,70,4.84,488.0,1285.5,453.0,517.5,1230.0,310.0
2011,70,4.93,483.0,1292.0,461.0,523.0,1239.0,313.0
2004,71,1.37,116.0,275.0,104.0,147.0,285.0,55.0
2005,71,1.37,111.0,266.0,104.0,147.0,289.0,55.0
2006,71,1.38,121.0,280.0,113.0,160.0,285.0,54.0
2007,71,1.42,122.0,269.0,116.0,145.0,273.0,59.0
2008,71,1.43,117.0,265.0,109.0,145.0,273.0,57.0
2009,71,1.43,130.0,273.0,108.0,146.0,280.0,59.0
2010,71,1.43,128.0,275.0,102.0,149.5,276.0,63.0
2011,71,1.43,126.0,277.0,96.0,153.0,272.0,67.0
2004,72,2.78,323.0,756.0,188.0,329.0,764.0,132.0
2005,72,2.78,322.0,764.0,192.0,328.0,755.0,138.0
2006,72,2.81,321.0,768.0,205.0,324.0,756.0,144.0
2007,72,2.82,311.0,774.0,203.0,331.0,741.0,138.0
2008,72,2.94,312.0,782.0,207.0,339.0,764.0,127.0
2009,72,2.94,323.0,791.0,206.0,317.0,759.0,136.0
2010,72,2.97,315.0,780.5,212.5,319.5,758.5,143.0
2011,72,3.0,307.0,770.0,219.0,322.0,758.0,150.0
2004,73,5.9,501.0,1329.0,391.0,562.0,1305.0,297.0
2005,73,5.9,504.0,1315.0,405.0,562.0,1298.0,299.0
2006,73,6.03,497.0,1319.0,412.0,573.0,1284.0,309.0
2007,73,6.2,508.0,1310.0,431.0,579.0,1294.0,305.0
2008,73,6.25,510.0,1288.0,428.0,565.0,1278.0,320.0
2009,73,6.25,519.0,1285.0,434.0,558.0,1265.0,318.0
2010,73,6.375,523.0,1292.0,441.5,551.5,1274.5,329.5
2011,73,6.5,527.0,1299.0,449.0,545.0,1284.0,341.0
2004,74,1.3,342.0,676.0,160.0,368.0,732.0,107.0
2005,74,1.3,339.0,679.0,154.0,358.0,737.0,109.0
2006,74,1.3,320.0,674.0,169.0,339.0,724.0,117.0
2007,74,1.3,324.0,682.0,157.0,340.0,732.0,115.0
2008,74,1.3,321.0,682.0,150.0,349.0,722.0,123.0
2009,74,1.3,298.0,686.0,152.0,332.0,725.0,131.0
2010,74,1.3,299.5,682.5,156.0,322.0,722.0,139.5
2011,74,1.3,301.0,679.0,160.0,312.0,719.0,148.0
2004,75,5.71,876.0,1887.0,461.0,1010.0,1951.0,302.0
2005,75,5.71,896.0,1943.0,462.0,1024.0,1992.0,312.0
2006,75,5.87,905.0,1959.0,467.0,1023.0,2001.0,331.0
2007,75,5.91,910.0,1949.0,478.0,1015.0,2010.0,339.0
2008,75,6.2,912.0,1961.0,491.0,989.0,2020.0,338.0
2009,75,6.2,925.0,2015.0,495.0,1009.0,2058.0,342.0
2010,75,6.335,934.0,2085.5,505.5,1025.0,2108.0,350.5
2011,75,6.47,943.0,2156.0,516.0,1041.0,2158.0,359.0
2004,76,4.49,807.0,1784.0,437.0,882.0,1746.0,256.0
2005,76,4.49,812.0,1815.0,434.0,894.0,1769.0,252.0
2006,76,4.49,811.0,1819.0,423.0,899.0,1776.0,259.0
2007,76,4.49,816.0,1831.0,406.0,907.0,1780.0,265.0
2008,76,4.49,795.0,1797.0,396.0,893.0,1772.0,270.0
2009,76,4.49,780.0,1795.0,402.0,870.0,1790.0,276.0
2010,76,4.49,788.0,1810.5,407.0,868.0,1818.0,285.5
2011,76,4.49,796.0,1826.0,412.0,866.0,1846.0,295.0
2004,77,12.45,1891.0,4499.0,1443.0,1924.0,4414.0,969.0
2005,77,12.44,1920.0,4531.0,1431.0,1918.0,4459.0,975.0
2006,77,12.71,1914.0,4565.0,1460.0,1925.0,4488.0,980.0
2007,77,12.85,1923.0,4642.0,1471.0,1954.0,4512.0,1033.0
2008,77,13.04,1919.0,4634.0,1496.0,1921.0,4528.0,1033.0
2009,77,13.07,1937.0,4643.0,1522.0,1911.0,4583.0,1051.0
2010,77,13.18,1918.5,4680.0,1545.0,1916.5,4607.0,1088.0
2011,77,13.29,1900.0,4717.0,1568.0,1922.0,4631.0,1125.0
2004,78,13.58,2351.0,4495.0,994.0,2463.0,4773.0,705.0
2005,78,13.58,2318.0,4565.0,1004.0,2455.0,4801.0,708.0
2006,78,13.58,2338.0,4608.0,1012.0,2446.0,4807.0,726.0
2007,78,13.58,2313.0,4640.0,1022.0,2459.0,4821.0,746.0
2008,78,13.58,2312.0,4637.0,1068.0,2473.0,4873.0,759.0
2009,78,13.58,2277.0,4668.0,1082.0,2422.0,4967.0,783.0
2010,78,13.58,2279.0,4687.5,1113.5,2395.5,5018.0,813.5
2011,78,13.58,2281.0,4707.0,1145.0,2369.0,5069.0,844.0
2004,79,2.14,145.0,335.0,148.0,119.0,338.0,99.0
2005,79,2.14,147.0,322.0,156.0,119.0,338.0,100.0
2006,79,2.16,149.0,332.0,151.0,121.0,336.0,102.0
2007,79,2.18,136.0,316.0,151.0,125.0,311.0,114.0
2008,79,2.18,136.0,325.0,146.0,129.0,309.0,113.0
2009,79,2.18,140.0,319.0,148.0,128.0,308.0,113.0
2010,79,2.18,140.0,317.5,152.0,131.0,310.5,114.0
2011,79,2.18,140.0,316.0,156.0,134.0,313.0,115.0
2004,80,7.06,1301.0,2391.0,543.0,1273.0,2440.0,386.0
2005,80,7.06,1301.0,2422.0,555.0,1300.0,2511.0,389.0
2006,80,7.09,1305.0,2460.0,556.0,1311.0,2544.0,407.0
2007,80,7.15,1313.0,2487.0,563.0,1346.0,2545.0,434.0
2008,80,7.36,1376.0,2642.0,575.0,1414.0,2708.0,437.0
2009,80,7.36,1373.0,2707.0,567.0,1415.0,2772.0,442.0
2010,80,7.465,1387.0,2746.0,594.0,1441.0,2813.5,460.5
2011,80,7.57,1401.0,2785.0,621.0,1467.0,2855.0,479.0
2004,81,2.53,320.0,682.0,242.0,376.0,735.0,173.0
2005,81,2.53,304.0,676.0,247.0,358.0,743.0,171.0
2006,81,2.53,304.0,680.0,249.0,343.0,733.0,184.0
2007,81,2.56,314.0,663.0,250.0,347.0,736.0,173.0
2008,81,2.56,336.0,668.0,257.0,340.0,733.0,170.0
2009,81,2.56,319.0,667.0,257.0,326.0,764.0,167.0
2010,81,2.56,322.5,674.0,263.5,323.0,773.5,167.5
2011,81,2.56,326.0,681.0,270.0,320.0,783.0,168.0
2004,82,3.42,417.0,833.0,250.0,426.0,892.0,156.0
2005,82,3.42,404.0,828.0,258.0,429.0,863.0,157.0
2006,82,3.48,408.0,821.0,268.0,436.0,870.0,158.0
2007,82,3.53,419.0,818.0,265.0,447.0,877.0,152.0
2008,82,3.53,411.0,834.0,257.0,466.0,896.0,166.0
2009,82,3.54,419.0,847.0,248.0,453.0,903.0,161.0
2010,82,3.555,425.5,859.5,251.0,456.5,910.0,171.0
2011,82,3.57,432.0,872.0,254.0,460.0,917.0,181.0
2004,83,38.71,7137.0,15799.0,4122.0,7470.0,16237.0,2852.0
2005,83,38.7,7146.0,15938.0,4099.0,7571.0,16290.0,2861.0
2006,83,39.0,7219.0,16138.0,4121.0,7606.0,16613.0,2873.0
2007,83,39.2,7305.0,16291.0,4125.0,7621.0,16860.0,2936.0
2008,83,39.77,7412.0,16501.0,4139.0,7695.0,17257.0,2918.0
2009,83,39.82,7442.0,16771.0,4135.0,7741.0,17641.0,2933.0
2010,83,40.23,7515.5,17081.0,4175.0,7826.0,18038.0,3043.0
2011,83,40.64,7589.0,17391.0,4215.0,7911.0,18435.0,3153.0
2004,84,1.08,147.0,307.0,125.0,156.0,324.0,84.0
2005,84,1.07,146.0,306.0,130.0,152.0,314.0,85.0
2006,84,1.09,152.0,312.0,139.0,156.0,316.0,82.0
